scode,sname,amccode
131670,Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Growth Option,3
131665,Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan - Dividend Option,3
131666,Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan - Growth Option,3
125598,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Dividend,3
125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,3
125596,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Dividend,3
125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,3
120528,Aditya Birla Sun Life Buy India Fund - Dividend - Direct Plan,3
103169,Aditya Birla Sun Life Buy India Fund - Dividend - Regular Plan,3
120529,Aditya Birla Sun Life Buy India Fund - Growth - Direct Plan,3
103170,Aditya Birla Sun Life Buy India Fund - Growth - Regular Plan,3
119524,Aditya Birla Sun Life Cash Manager - Daily Dividend - Direct Plan,3
113307,Aditya Birla Sun Life Cash Manager - Daily Dividend - Regular Plan,3
119523,Aditya Birla Sun Life Cash Manager - Growth - Direct Plan,3
103192,Aditya Birla Sun Life Cash Manager - Growth Plan,3
103191,Aditya Birla Sun Life Cash Manager - Institutional Plan - Daily Dividend,3
103195,Aditya Birla Sun Life Cash Manager - Institutional Plan - Growth,3
103194,Aditya Birla Sun Life Cash Manager - Institutional Plan - Weekly Dividend,3
119522,Aditya Birla Sun Life Cash Manager - Weekly Dividend - Direct Plan,3
103193,Aditya Birla Sun Life Cash Manager - Weekly Dividend - Regular Plan,3
100046,Aditya Birla Sun Life Cash Plus - Daily Dividend,3
119569,Aditya Birla Sun Life Cash Plus - Daily Dividend - Direct Plan,3
103885,Aditya Birla Sun Life Cash Plus - Dividend,3
119571,Aditya Birla Sun Life Cash Plus - Dividend - Direct Plan,3
100047,Aditya Birla Sun Life Cash Plus - Growth,3
119568,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,3
100041,Aditya Birla Sun Life Cash Plus - Institutional Dividend,3
100051,Aditya Birla Sun Life Cash Plus - Weekly Dividend,3
119570,Aditya Birla Sun Life Cash Plus - Weekly Dividend - Direct Plan,3
112014,Aditya Birla Sun Life Cash Plus- Discipline Advantage Plan,3
100048,Aditya Birla Sun Life Cash Plus-Institutional -  Weekly Dividend,3
100049,Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend,3
100043,Aditya Birla Sun Life Cash Plus-Institutional (Growth),3
100052,Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend,3
100053,Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend,3
100044,Aditya Birla Sun Life Cash Plus-Retail (Dividend),3
100042,Aditya Birla Sun Life Cash Plus-Retail (Growth),3
119575,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Dividend - Direct Plan,3
111348,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Dividend - Regular Plan,3
119576,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Direct Plan,3
111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,3
119614,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Direct Plan,3
100061,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,3
119615,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Direct Plan,3
100060,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan,3
134388,Aditya Birla Sun Life Corporate Bond Fund - Direct Plan - Bonus,3
134385,Aditya Birla Sun Life Corporate Bond Fund - Direct Plan - Dividend,3
134387,Aditya Birla Sun Life Corporate Bond Fund - Direct Plan - Growth,3
134384,Aditya Birla Sun Life Corporate Bond Fund - Regular Plan - Bonus,3
134386,Aditya Birla Sun Life Corporate Bond Fund - Regular Plan - Dividend,3
134383,Aditya Birla Sun Life Corporate Bond Fund - Regular Plan - Growth,3
101713,Aditya Birla Sun Life Credit Opportunities Fund - Growth - Regular Plan,3
120706,Aditya Birla Sun Life Credit Opportunities Fund - Growth / Payment - Direct Plan,3
120549,Aditya Birla Sun Life Credit Opportunities Fund - Monthly Dividend - Direct Plan,3
101711,Aditya Birla Sun Life Credit Opportunities Fund - Monthly Dividend - Regular Plan,3
119506,Aditya Birla Sun Life Dividend Yield Plus - Dividend - Direct Plan,3
101737,Aditya Birla Sun Life Dividend Yield Plus - Dividend - Regular Plan,3
119507,Aditya Birla Sun Life Dividend Yield Plus - Growth - Direct Plan,3
101738,Aditya Birla Sun Life Dividend Yield Plus - Growth - Regular Plan,3
